,time,Latitude,Longitude,N,geoid,E,satellites,ellipsoid,PDOP,HDOP,VDOP,x,y,alt,MSL,surfaceAlt,speed,distance,UTC,All_time
8917,737156.9779704859,32.1112551086156,34.808363836858,1,18.968,1,8,51.6,2.3,1.1,,670615.4693244479,3554199.09449851,32.940188363948806,32.632,0,0.345454236015291,5.18872262494967,23:28:16,2018-04-06 23:28:16
8918,737156.9781438659,32.1112030594268,34.8083500032172,1,18.967,1,8,51.6,2.0,1.0,,670614.260805067,3554193.30197031,32.1257923019039,32.633,0,0.395010320866627,5.91725460658208,23:28:31,2018-04-06 23:28:31
8919,737156.9783178241,32.1112211126766,34.808365823298004,1,18.967,1,7,50.1,1.4,1.1,,670615.720024232,3554195.32856224,31.3832698078399,31.133000000000003,0,0.166152867762958,2.4972776024772596,23:28:46,2018-04-06 23:28:46
8920,737156.9784913191,32.1112633513206,34.8084009047382,1,18.968,1,9,49.6,2.0,1.0,,670618.951775424,3554200.06705897,30.514594968013895,30.631999999999998,0,0.38263109227217496,5.735640073159901,23:29:01,2018-04-06 23:29:01
8921,737156.978664815,32.1112653425887,34.808428707473304,1,18.968,1,10,48.7,2.0,1.0,,670621.5715834571,3554200.33185924,29.7358288205923,29.732,0,0.175660875904166,2.63315652980344,23:29:16,2018-04-06 23:29:16
8922,737156.978838542,32.1112654951859,34.8084021840003,1,18.968,1,10,48.5,1.8,0.9,,670619.068499616,3554200.30677227,29.5322783527519,29.531999999999996,0,0.16676945725416298,2.50320955338498,23:29:31,2018-04-06 23:29:31
8923,737156.979011806,32.1112970225877,34.8083343298743,1,18.967,1,10,48.4,1.7,0.9,,670612.607007504,3554203.69471337,30.1427480472879,29.433000000000003,0,0.48736288912165204,7.29582245015113,23:29:46,2018-04-06 23:29:46
8924,737156.9791855321,32.1113698789011,34.808303871624396,1,18.967,1,9,50.4,2.2,0.9,,670609.597357688,3554211.72395654,30.780491131108604,31.433000000000003,0,0.5712707089499829,8.57477334133924,23:30:01,2018-04-06 23:30:01
8925,737156.9793591441,32.1113681072705,34.8083087110024,1,18.967,1,9,50.3,2.2,1.1,,670610.057305435,3554211.53520201,30.7033334645464,31.333000000000002,0,0.0331448136095732,0.497172204143599,23:30:16,2018-04-06 23:30:16
8926,737156.979532755,32.1113085299098,34.808309833716,1,18.968,1,9,48.1,2.3,0.9,,670610.274098376,3554204.93172147,30.0279441529203,29.131999999999998,0,0.4404692166346671,6.60703824952,23:30:31,2018-04-06 23:30:31
8927,737156.979706366,32.1112842051698,34.808241451665,1,18.965999999999998,1,9,48.3,2.3,1.2,,670603.866713093,3554202.12658338,29.1631516062704,29.334,0,0.46630169493896606,6.9945254240844905,23:30:46,2018-04-06 23:30:46
8928,737156.9798799771,32.1112951193222,34.8082284437525,1,18.967,1,8,48.2,2.3,1.1,,670602.618958367,3554203.31602155,28.836418113014698,29.233,0,0.114923259934279,1.72384889901418,23:31:01,2018-04-06 23:31:01
8929,737156.9800530091,32.1113070443725,34.8083315835436,1,18.965999999999998,1,8,47.3,2.3,1.1,,670612.329212063,3554204.80146544,29.0124400498797,28.334,0,0.6570712969171371,9.8232158889112,23:31:16,2018-04-06 23:31:16
8930,737156.980227778,32.1113228184601,34.808376374361,1,18.969,1,9,48.5,2.1,1.0,,670616.526396644,3554206.62124928,29.2789303882815,29.531,0,0.302960927430424,4.5747100041994,23:31:31,2018-04-06 23:31:31
8931,737156.980400579,32.1114437243731,34.8082532619472,1,18.965999999999998,1,8,48.9,2.2,1.0,,670604.6843526721,3554219.8309559,29.5694805389477,29.934,0,1.18825460950733,17.740641319944398,23:31:46,2018-04-06 23:31:46
8932,737156.980573727,32.1115710176096,34.8080572915478,1,18.965,1,7,48.3,1.4,1.1,,670585.955475953,3554233.63346364,29.6877240920338,29.335,0,1.55517552927153,23.265425917902004,23:32:01,2018-04-06 23:32:01
8933,737156.9807473379,32.1115463301316,34.808031481061505,1,18.965,1,8,48.4,2.3,1.1,,670583.565890695,3554230.85552978,29.5014875704811,29.435,0,0.244286118804278,3.66429178206417,23:32:16,2018-04-06 23:32:16
8934,737156.980921644,32.111395439366795,34.8081902299526,1,18.967,1,8,48.6,3.1,1.1,,670598.826393795,3554214.37785168,29.0586815039384,29.633000000000003,0,1.49128689878021,22.458780695629898,23:32:31,2018-04-06 23:32:31
8935,737156.981095602,32.1112824463724,34.8083959489784,1,18.967,1,7,47.4,1.5,1.1,,670618.448610915,3554202.17625227,28.730328352456304,28.433000000000003,0,1.5373587466262901,23.1065019617932,23:32:46,2018-04-06 23:32:46
8936,737156.981616088,32.1112131228077,34.808428250039704,1,18.967,1,9,47.2,2.3,1.1,,670621.62558745,3554194.54160078,28.8637923187126,28.233,0,0.183884490381137,8.26928553243973,23:33:31,2018-04-06 23:33:31
8937,737156.981789815,32.1111116197383,34.808137383544896,1,18.968,1,10,49.2,2.1,0.9,,670594.367758412,3554182.82748757,29.434675185085503,30.232,0,1.9765708260307802,29.668328098722,23:33:46,2018-04-06 23:33:46
8938,737156.981962616,32.1111340172562,34.8078325634959,1,18.963,1,8,49.3,2.6,1.8,,670565.562713914,3554184.82804155,30.503778877613502,30.337,0,1.93398738639381,28.8744316788596,23:34:01,2018-04-06 23:34:01
8939,737156.9821362271,32.1112918509057,34.8077468750688,1,18.962,1,8,50.0,3.3,1.3,,670557.183419509,3554202.19117695,31.7573339521177,31.038,0,1.28528603959353,19.279290593902896,23:34:16,2018-04-06 23:34:16
8940,737156.982310069,32.1114860339908,34.807996566584,1,18.965999999999998,1,10,52.6,2.1,0.9,,670580.383482201,3554224.11529947,32.8944568868415,33.634,0,2.1251911162758703,31.9203705664636,23:34:31,2018-04-06 23:34:31
8941,737156.9824842591,32.1115281876015,34.8083351878419,1,18.968,1,6,52.6,1.5,1.2,,670612.257845425,3554229.3250136003,33.4418964256059,33.632,0,2.1460005811639,32.2973087465167,23:34:46,2018-04-06 23:34:46
8942,737156.9828311341,32.1113442327081,34.808455398730395,1,18.968,1,6,52.1,1.5,1.2,,670623.943418121,3554209.12056804,33.2457955802163,33.132,0,0.7787906655963199,23.3403562479217,23:35:16,2018-04-06 23:35:16
8943,737156.983004977,32.1112666856454,34.808397959858496,1,18.967,1,7,51.5,1.4,1.1,,670618.66768732,3554200.43206714,33.1822692348497,32.533,0,0.676751733556137,10.1648110380132,23:35:31,2018-04-06 23:35:31
8944,737156.983699653,32.111355815745696,34.8082865386134,1,18.968,1,8,53.0,2.7,1.3,,670607.987953409,3554210.13734572,33.592424782901304,34.032,0,0.24043385861678498,14.430840194179401,23:36:31,2018-04-06 23:36:31
8945,737156.983872107,32.1115280428748,34.8081901064478,1,18.965,1,6,53.1,1.5,1.1,,670598.5680280679,3554229.07922103,34.0109252187411,34.135,0,1.41979169209719,21.1548962122482,23:36:46,2018-04-06 23:36:46
8946,737156.9842201391,32.1115859665676,34.8081801339123,1,18.967,1,7,52.8,1.6,1.3,,670597.519237515,3554235.48534812,33.9124478941121,33.833,0,0.215876677932863,6.4914117054411795,23:37:16,2018-04-06 23:37:16
8947,737156.9843934029,32.1114800402554,34.808257538350894,1,18.965999999999998,1,8,52.6,2.5,1.4,,670605.020311596,3554223.86401885,33.5405026746881,33.634,0,0.9239744917793878,13.831898141937401,23:37:31,2018-04-06 23:37:31
8948,737156.984567361,32.1113853546778,34.808286768666,1,18.968,1,8,52.1,2.3,1.0,,670607.95470094,3554213.41265002,33.5652754704085,33.132,0,0.7222550938945981,10.8554940612358,23:37:46,2018-04-06 23:37:46
8949,737156.98508831,32.1113576438804,34.808248642321104,1,18.965999999999998,1,7,52.8,1.5,1.2,,670604.408597274,3554210.28001693,33.660537061119,33.834,0,0.10512378195061099,4.73162142559701,23:38:31,2018-04-06 23:38:31
8950,737156.985435417,32.1113868423914,34.8082182161641,1,18.965999999999998,1,9,52.9,2.1,1.2,,670601.483211356,3554213.46903375,33.4826345117271,33.934,0,0.144299851587534,4.32755254911016,23:39:01,2018-04-06 23:39:01
8951,737156.985609028,32.1114536555169,34.8081584705379,1,18.967,1,8,51.4,2.7,1.2,,670595.721215626,3554220.78190372,32.7807637006245,32.433,0,0.620675839704047,9.3101375955607,23:39:16,2018-04-06 23:39:16
8952,737156.9857825229,32.111376254969,34.808235054899995,1,18.965999999999998,1,7,51.1,1.5,1.1,,670603.091839428,3554212.32188584,31.8517705285851,32.134,0,0.7485275316782,11.2204276998562,23:39:31,2018-04-06 23:39:31
8953,737156.98595625,32.111154984660104,34.8083517902608,1,18.965999999999998,1,9,50.1,2.5,1.2,,670614.518885055,3554187.97481841,31.7033398616582,31.134,0,1.7918253284188699,26.8952981795672,23:39:46,2018-04-06 23:39:46
8954,737156.98613125,32.1109665992686,34.8084027416197,1,18.97,1,8,51.1,2.2,1.0,,670619.677279764,3554167.16948422,32.186915445058496,32.13,0,1.41767684453231,21.435273889328602,23:40:01,2018-04-06 23:40:01
8955,737156.9863026621,32.110886921525896,34.8084208839827,1,18.965999999999998,1,7,52.3,1.6,1.4,,670621.53748833,3554158.36445669,32.5827642801811,33.334,0,0.607655808528774,8.999382524311141,23:40:16,2018-04-06 23:40:16
8956,737156.9864774309,32.1110627469057,34.8083564225418,1,18.968,1,9,51.3,2.3,1.2,,670615.127619855,3554177.75588395,32.6638394935228,32.332,0,1.35254077272726,20.4233656681817,23:40:31,2018-04-06 23:40:31
