,time,Latitude,Longitude,N,geoid,E,satellites,ellipsoid,PDOP,HDOP,VDOP,x,y,alt,MSL,surfaceAlt,speed,distance,UTC,All_time
5312,737044.9705137729,32.1116090524521,34.808499893547605,1,18.968,1,8,53.7,2.1,1.0,,670627.649233571,3554238.55123277,33.9006418328621,34.732,0,0.43325260092100204,6.51178659184266,23:17:32,2017-12-15 23:17:32
5313,737044.970687037,32.1116673200988,34.8085523532215,1,18.969,1,8,53.5,2.0,1.1,,670632.490968477,3554245.09437169,35.3966210746295,34.531,0,0.543735561818626,8.13972136042483,23:17:47,2017-12-15 23:17:47
5314,737044.97086088,32.1117915769763,34.8085991484704,1,18.969,1,7,56.1,1.4,1.1,,670636.675391698,3554258.94467598,37.4038410114199,37.131,0,0.963288811266827,14.4685979452277,23:18:02,2017-12-15 23:18:02
5315,737044.971034491,32.1117683247544,34.8085559923326,1,18.969,1,7,59.1,1.4,1.1,,670632.646398973,3554256.29838131,39.348355381820795,40.131,0,0.321355862593298,4.82033793889948,23:18:17,2017-12-15 23:18:17
5316,737044.9712083329,32.1116491248406,34.8085043601142,1,18.968,1,6,59.4,1.6,1.2,,670627.996135956,3554243.0010768,40.2312844531389,40.431999999999995,0,0.9378820767444441,14.086988792701499,23:18:32,2017-12-15 23:18:32
5317,737044.971379051,32.1116228347629,34.8084818702852,1,18.967,1,6,58.5,1.4,1.1,,670625.922887782,3554240.0507136,39.8117780849389,39.533,0,0.24447236741946202,3.6059674194370603,23:18:46,2017-12-15 23:18:46
5318,737044.9715555559,32.1117036320331,34.8084533673386,1,18.97,1,6,57.9,1.4,1.1,,670623.082964081,3554248.96345274,39.1231615479025,38.93,0,0.613393767286737,9.35425495112274,23:19:02,2017-12-15 23:19:02
5319,737044.9717288191,32.111864946637,34.8084665704363,1,18.967,1,8,57.9,2.0,1.0,,670624.028646969,3554266.86908902,38.7813975591465,38.933,0,1.19776833144203,17.9305919216872,23:19:17,2017-12-15 23:19:17
5320,737044.9719026621,32.1119196862003,34.8084723025635,1,18.968,1,6,57.7,1.5,1.2,,670624.467675431,3554272.94706673,38.7737927786234,38.732,0,0.405713260797433,6.09381317717745,23:19:32,2017-12-15 23:19:32
5321,737044.972076042,32.1118439293436,34.8084985017025,1,18.969,1,8,57.8,2.0,1.0,,670627.080825949,3554264.5895028,38.94042952865821,38.830999999999996,0,0.5845504003664599,8.75656499748958,23:19:47,2017-12-15 23:19:47
5322,737044.972249653,32.1117748761907,34.808536791209804,1,18.968,1,8,58.4,2.0,1.0,,670630.822366819,3554256.99431869,39.3214071835857,39.431999999999995,0,0.5644503707451899,8.46675556117785,23:20:02,2017-12-15 23:20:02
5323,737044.9724232641,32.1117219657284,34.808520959850995,1,18.968,1,7,58.6,1.4,1.0,,670629.426961076,3554251.10313534,39.8735162389293,39.632,0,0.40361256690782704,6.054188503617411,23:20:17,2017-12-15 23:20:17
5324,737044.972596875,32.1117381389385,34.808501942639104,1,18.968,1,6,59.3,1.4,1.1,,670627.60237759,3554252.86611727,40.174867437239,40.332,0,0.16914438541495003,2.53716578122426,23:20:32,2017-12-15 23:20:32
5325,737044.97277037,32.1118139292039,34.8084872043994,1,18.968,1,7,58.9,1.5,1.2,,670626.070625631,3554261.2455364997,39.6075883886013,39.931999999999995,0,0.568263536176421,8.51827040728454,23:20:47,2017-12-15 23:20:47
5326,737044.97294375,32.1118708296114,34.8084813469933,1,18.968,1,6,57.5,1.6,1.2,,670625.4120315571,3554267.54472884,38.364174769890006,38.532,0,0.422798896853406,6.33352747486401,23:21:02,2017-12-15 23:21:02
5327,737044.973117477,32.1118461218743,34.8084585589998,1,18.968,1,8,55.2,2.2,1.1,,670623.307708634,3554264.76932556,37.136435556117505,36.232,0,0.232042905852371,3.4829640168440896,23:21:17,2017-12-15 23:21:17
5328,737044.9732912041,32.1118321963372,34.808462355057394,1,18.968,1,8,55.9,2.2,1.1,,670623.691821731,3554263.23143263,36.2548624906179,36.931999999999995,0,0.10560535900467599,1.58513643866018,23:21:32,2017-12-15 23:21:32
5329,737044.9734645829,32.1118589905041,34.8084844122558,1,18.968,1,8,54.8,2.2,1.1,,670625.723303757,3554266.23699814,35.9011471674235,35.832,0,0.24217081020025802,3.6277187367998702,23:21:47,2017-12-15 23:21:47
5330,737044.97363912,32.1118754537984,34.8085262938938,1,18.969,1,7,54.4,1.4,1.1,,670629.644664273,3554268.12859264,35.8439475127022,35.431,0,0.288710661398604,4.35375677389095,23:22:02,2017-12-15 23:22:02
