,timeStr,time,Latitude,Longitude,alt,speed,distance,MSL,surfaceAlt,ellipsoid,x,y,si50,foraging,UTC,All_time
958,03-Jan-2017 23:52:47,736698.994990972,32.1121873467818,34.8079139082895,0,0.0,0.0,0,0,17.6943844090727,670571.279103654,3554301.73799077,20.0424716271437,1,23:52:46,2017-01-03 23:52:46
959,03-Jan-2017 23:53:17,736698.9953381941,32.1120398582552,34.807907557650104,0,0.545504215091926,16.3651264527578,0,0,17.7153248241441,670570.954220235,3554285.37608945,20.0424716271437,1,23:53:16,2017-01-03 23:53:16
960,03-Jan-2017 23:53:47,736698.9956854171,32.1118923697285,34.8079012070108,0,0.54550420287003,16.3651260861009,0,0,17.736265239215502,670570.629333756,3554269.01418857,20.1487495361839,1,23:53:46,2017-01-03 23:53:46
961,03-Jan-2017 23:54:17,736698.996032639,32.1117448811524,34.8078948563693,0,0.545504373502775,16.3651312050833,0,0,17.7572056613077,670570.304444109,3554252.65228263,19.5505025864205,1,23:54:16,2017-01-03 23:54:16
962,03-Jan-2017 23:54:47,736698.9963798609,32.1115973926257,34.8078885057299,0,0.545504178288166,16.365125348645,0,0,17.7781460763791,670569.979551509,3554236.2903826004,17.9803804056412,1,23:54:46,2017-01-03 23:54:46
963,03-Jan-2017 23:55:17,736698.996727083,32.111448784352305,34.8078819509401,0,0.5496638689409079,16.4899160682272,0,0,17.800052385146802,670569.637474866,3554219.80401503,17.4826942628279,1,23:55:16,2017-01-03 23:55:16
964,03-Jan-2017 23:55:47,736698.9970743059,32.1111893205432,34.8078551851469,0,0.9627037552062221,28.8811126561867,0,0,17.917582687998,670567.594461052,3554190.99525312,17.2648130251204,1,23:55:46,2017-01-03 23:55:46
965,03-Jan-2017 23:56:17,736698.997421528,32.1110607464617,34.8078410225425,0,0.47731164067980103,14.319349220394,0,0,18.0982372470195,670566.497219055,3554176.71800472,16.4545467458364,1,23:56:16,2017-01-03 23:56:16
966,03-Jan-2017 23:56:47,736698.99776875,32.1110592782617,34.8078390987857,0,0.00812855507134872,0.24385665214046198,0,0,18.340191224808,670566.318420775,3554176.55218179,15.658317110441502,1,23:56:46,2017-01-03 23:56:46
967,03-Jan-2017 23:57:17,736698.998115972,32.111085467696,34.8078805050933,0,0.162287507312771,4.86862521938313,0,0,18.535926280136,670570.1768813389,3554179.52132201,14.862420734367198,1,23:57:16,2017-01-03 23:57:16
968,03-Jan-2017 23:57:47,736698.9984631941,32.1111381240178,34.8079633759718,0,0.32533451396701296,9.7600354190104,0,0,18.6874321233078,670577.898777476,3554185.49046025,13.9331079874358,1,23:57:46,2017-01-03 23:57:46
969,03-Jan-2017 23:58:17,736698.998810417,32.1111923228548,34.8080495121319,0,0.33698004508680396,10.109401352604099,0,0,18.838606938280698,670585.925912724,3554191.63579144,12.9730676690935,1,23:58:16,2017-01-03 23:58:16
970,03-Jan-2017 23:58:47,736698.9991576391,32.1112828652567,34.8083361712045,0,0.961876199203198,28.8562859760959,0,0,19.1135830496895,670612.807100498,3554202.12802591,11.9904073512405,1,23:58:46,2017-01-03 23:58:46
971,03-Jan-2017 23:59:17,736698.999504861,32.1111907622531,34.8085223428363,0,0.6774165183695771,20.3224955510873,0,0,21.7986010146391,670630.545958144,3554192.21153688,11.1120272240141,1,23:59:16,2017-01-03 23:59:16
972,03-Jan-2017 23:59:47,736698.9998520829,32.111177777243,34.8084084944175,0,0.3613499030934779,10.8404970928043,0,0,22.833294889498,670619.827180997,3554190.59160055,10.370875634965099,1,23:59:46,2017-01-03 23:59:46
973,04-Jan-2017 00:00:17,736699.0001993059,32.1111656861451,34.8082946392416,0,0.360947045011156,10.828411350334699,0,0,23.904838776935502,670609.106100259,3554189.07077177,9.8952143515746,1,00:00:16,2017-01-04 00:00:16
974,04-Jan-2017 00:00:47,736699.000546528,32.111226603533396,34.8082711667662,0,0.236958003064467,7.10874009193401,0,0,27.1177584258787,670606.777853,3554195.78742647,9.623902446270801,1,00:00:46,2017-01-04 00:00:46
975,04-Jan-2017 00:01:17,736699.00089375,32.1113445716301,34.8082591105039,0,0.43767302754658705,13.1301908263976,0,0,28.963382179791697,670605.4207137739,3554208.84729187,9.250598713629891,1,00:01:16,2017-01-04 00:01:16
976,04-Jan-2017 00:01:47,736699.0012409721,32.1112903716918,34.808325103608304,0,0.288498541927216,8.654956257816469,0,0,30.275204253926603,670611.748776714,3554202.94272692,8.57039111038498,1,00:01:46,2017-01-04 00:01:46
977,04-Jan-2017 00:02:17,736699.001588194,32.1111987156487,34.8082965222925,0,0.350502103605242,10.515063108157301,0,0,32.2778866501754,670609.22233309,3554192.73568843,7.83316683074189,1,00:02:16,2017-01-04 00:02:16
978,04-Jan-2017 00:02:47,736699.0019354171,32.1111908420542,34.8082663929359,0,0.0991491100945258,2.9744733028357704,0,0,33.0067699506886,670606.393923424,3554191.81504181,7.248517809713111,1,00:02:46,2017-01-04 00:02:46
979,04-Jan-2017 00:03:17,736699.002282639,32.111133435076496,34.8082356677208,0,0.23316223166466601,6.994866949939969,0,0,33.508173580831496,670603.60144646,3554185.40175591,6.91084788560828,1,00:03:16,2017-01-04 00:03:16
980,04-Jan-2017 00:03:47,736699.0026298609,32.111114835520894,34.8083138281838,0,0.25530985588682503,7.65929567660476,0,0,33.7650339624058,670611.011417593,3554183.46342207,6.621491993628349,1,00:03:46,2017-01-04 00:03:46
981,04-Jan-2017 00:04:17,736699.002977083,32.111228231553504,34.8083395071329,0,0.426841507524492,12.8052452257348,0,0,35.4884732391884,670613.223539272,3554196.07614672,6.53700772744293,1,00:04:16,2017-01-04 00:04:16
982,04-Jan-2017 00:04:47,736699.003324306,32.111272378372,34.808341433978704,0,0.16328538452107,4.89856153563211,0,0,37.0671638955425,670613.3232172971,3554200.9736940004,6.44788206273069,1,00:04:46,2017-01-04 00:04:46
983,04-Jan-2017 00:05:17,736699.003671528,32.1113724066175,34.8082887875752,0,0.40511801579676004,12.1535404739028,0,0,40.665996471133596,670608.169299778,3554211.98031384,6.44860912690931,1,00:05:16,2017-01-04 00:05:16
984,04-Jan-2017 00:05:47,736699.00401875,32.1113044036246,34.808252120057695,0,0.27655323172725105,8.29659695181754,0,0,41.3856521135009,670604.835819711,3554204.38285166,6.4876195216055,1,00:05:46,2017-01-04 00:05:46
985,04-Jan-2017 00:06:17,736699.004365972,32.1111896708304,34.8082123016253,0,0.442181735591016,13.2654520677305,0,0,42.15057049789,670601.29195078,3554191.59953395,6.7461704775342,1,00:06:16,2017-01-04 00:06:16
986,04-Jan-2017 00:06:47,736699.0047131941,32.1111646817944,34.8082721679668,0,0.20975935238216198,6.292780571464861,0,0,41.5210105221979,670606.987539104,3554188.92383573,6.92986945504583,1,00:06:46,2017-01-04 00:06:46
