,timeStr,time,Latitude,Longitude,alt,speed,distance,MSL,surfaceAlt,ellipsoid,x,y,si50,foraging,UTC,All_time
9932,05-Jan-2017 22:18:04,736700.929220602,32.1116711509619,34.8084233689696,0,0.0,0.0,0,0,16.158079860617498,670620.312720535,3554245.31481227,44.8654701444312,0,22:18:04,2017-01-05 22:18:04
9933,05-Jan-2017 22:18:34,736700.9295678241,32.1123953964531,34.808739942391,0,2.85615835395012,85.6847506185037,0,0,23.358643186696803,670648.837088665,3554326.11231787,44.8654701444312,0,22:18:34,2017-01-05 22:18:34
9934,05-Jan-2017 22:19:04,736700.929915046,32.1135297223427,34.8093137185434,0,4.56465386699025,136.93961600970698,0,0,27.381875073613,670700.8670809921,3554452.78251299,50.336759869031496,0,22:19:04,2017-01-05 22:19:04
9935,05-Jan-2017 22:19:34,736700.9302622691,32.1139112001835,34.8095262032717,0,1.56041058558451,46.8123175675352,0,0,28.3737144240288,670720.206692153,3554495.4131653,43.115756795231505,0,22:19:34,2017-01-05 22:19:34
9936,05-Jan-2017 22:20:04,736700.930609491,32.1139807353784,34.8096199117107,0,0.39109075636940704,11.732722691082198,0,0,29.1209543390555,670728.919443358,3554503.27094795,43.8951494995939,0,22:20:04,2017-01-05 22:20:04
9937,05-Jan-2017 22:20:34,736700.9309567129,32.113913832182,34.8095438733931,0,0.34404137367542603,10.3212412102628,0,0,28.655807410731,670721.869126172,3554495.73297424,44.4218607586078,0,22:20:34,2017-01-05 22:20:34
9938,05-Jan-2017 22:21:04,736700.931303935,32.1138330091616,34.8094228392561,0,0.48394889138186703,14.518466741456,0,0,26.9918573094558,670710.598952697,3554486.58042998,41.9336189250482,0,22:21:04,2017-01-05 22:21:04
9939,05-Jan-2017 22:21:34,736700.931651157,32.113903220767895,34.8094462192823,0,0.269732852310809,8.091985569324269,0,0,26.5763903310501,670712.674340513,3554494.40174674,41.73412321761921,0,22:21:34,2017-01-05 22:21:34
9940,05-Jan-2017 22:22:04,736700.93199838,32.1142849797874,34.8096226847055,0,1.5163028861585501,45.4890865847565,0,0,30.3479671379736,670728.614555788,3554537.00651801,42.3427272705353,0,22:22:04,2017-01-05 22:22:04
9941,05-Jan-2017 22:22:34,736700.9323456021,32.1153017486128,34.8095805971853,0,3.76045551861605,112.813665558481,0,0,33.934236118913,670722.749883355,3554649.66764154,42.7734454262624,0,22:22:34,2017-01-05 22:22:34
9942,05-Jan-2017 22:23:04,736700.932692824,32.115517397577804,34.8094030100878,0,0.9733408556444492,29.200225669333502,0,0,35.0427848184869,670705.5916645321,3554673.29492886,42.534278360460206,0,22:23:04,2017-01-05 22:23:04
9943,05-Jan-2017 22:23:34,736700.9330400459,32.1155980624115,34.8094930970579,0,0.411339306661401,12.340179199842,0,0,35.4712187909486,670713.941827258,3554682.38089634,40.0683804735921,0,22:23:34,2017-01-05 22:23:34
9944,05-Jan-2017 22:24:04,736700.933387268,32.1156475845206,34.8095824898139,0,0.33552674835605,10.0658024506815,0,0,35.8834836669853,670722.284463944,3554688.0130178,38.82698022845771,0,22:24:04,2017-01-05 22:24:04
9945,05-Jan-2017 22:24:34,736700.9337344909,32.1155785408848,34.8095921315158,0,0.256991275866355,7.70973827599064,0,0,36.6199430844539,670723.322799787,3554680.37352024,38.3498738390014,0,22:24:34,2017-01-05 22:24:34
9946,05-Jan-2017 22:25:04,736700.934081713,32.1149016131857,34.8094129656136,0,2.56471501979734,76.9414505939201,0,0,32.1319609523283,670707.67761703,3554605.03949687,36.66737725892,0,22:25:04,2017-01-05 22:25:04
9947,05-Jan-2017 22:25:34,736700.934428935,32.114716239391896,34.8094910617355,0,0.7278792816991579,21.8363784509747,0,0,30.0425927451312,670715.391781404,3554584.61110751,34.0072069022336,0,22:25:34,2017-01-05 22:25:34
9948,05-Jan-2017 22:26:04,736700.934776157,32.1145030879451,34.809312844497,0,0.966946567901072,29.0083970370322,0,0,30.439819772773,670698.972384228,3554560.69687545,32.2639283827631,0,22:26:04,2017-01-05 22:26:04
9949,05-Jan-2017 22:26:34,736700.93512338,32.113644858716505,34.809875791925,0,3.63297365232934,108.98920956988,0,0,33.6515074695808,670753.689556303,3554466.43830087,31.019586381135102,0,22:26:34,2017-01-05 22:26:34
9950,05-Jan-2017 22:27:04,736700.935470602,32.113656411818496,34.8096955005812,0,0.568757262439723,17.0627178731917,0,0,35.0301730078649,670736.655881595,3554467.43342256,30.311420869718,0,22:27:04,2017-01-05 22:27:04
9951,05-Jan-2017 22:27:34,736700.9358178241,32.1136276609597,34.809460613141496,0,0.7465002998671051,22.395008996013104,0,0,36.288500051546706,670714.5456091961,3554463.87360763,30.374959803217397,0,22:27:34,2017-01-05 22:27:34
9952,05-Jan-2017 22:28:04,736700.936165046,32.1136606451671,34.8094635810144,0,0.12227131764728,3.6681395294183905,0,0,36.5430574369244,670714.764240736,3554467.53522583,30.7920208654146,0,22:28:04,2017-01-05 22:28:04
9953,05-Jan-2017 22:28:34,736700.9365122679,32.113693629363496,34.8094665488862,0,0.122271277139162,3.66813831417485,0,0,36.797614736955104,670714.982871945,3554471.19684283,30.426921109716503,0,22:28:34,2017-01-05 22:28:34
9954,05-Jan-2017 22:29:04,736700.9368594909,32.1137266135599,34.80946951675811,0,0.12227127760046301,3.6681383280138795,0,0,37.052172036985795,670715.201502895,3554474.85845987,28.090415744811697,1,22:29:04,2017-01-05 22:29:04
9955,05-Jan-2017 22:29:34,736700.937206713,32.1137595977563,34.80947248463,0,0.122271278189651,3.66813834568954,0,0,37.3067293370165,670715.420133588,3554478.52007693,25.4381153705757,1,22:29:34,2017-01-05 22:29:34
9956,05-Jan-2017 22:30:04,736700.937553935,32.1137925819527,34.8094754525019,0,0.122271278573481,3.66813835720443,0,0,37.5612866370472,670715.638764022,3554482.18169403,22.8511922988295,1,22:30:04,2017-01-05 22:30:04
9957,05-Jan-2017 22:30:34,736700.9379011571,32.1138273342894,34.8094790100883,0,0.128936222639706,3.86808667919117,0,0,37.8153407878103,670715.909746895,3554486.04027704,20.952953055728198,1,22:30:34,2017-01-05 22:30:34
9958,05-Jan-2017 22:31:04,736700.93824838,32.114709774949304,34.8096263883321,0,3.29441204532548,98.8323613597645,0,0,36.7939939100384,670728.1729889261,3554584.10886807,19.4581574438437,1,22:31:04,2017-01-05 22:31:04
9959,05-Jan-2017 22:31:34,736700.938595602,32.114843917996694,34.8096547726269,0,0.503787739084353,15.113632172530599,0,0,35.19025777012379,670730.601477711,3554599.02611713,19.54164225602,1,22:31:34,2017-01-05 22:31:34
9960,05-Jan-2017 22:32:04,736700.938942824,32.1145469774963,34.8093090526661,0,1.5450952351514098,46.3528570545424,0,0,33.1510772989673,670698.532878191,3554565.55684343,20.7985624257819,1,22:32:04,2017-01-05 22:32:04
9961,05-Jan-2017 22:32:34,736700.939290046,32.1146364692186,34.809318452091304,0,0.33209317071007105,9.96279512130212,0,0,35.666800117943,670699.253172481,3554575.49356637,21.7962519147047,1,22:32:34,2017-01-05 22:32:34
9962,05-Jan-2017 22:33:04,736700.939637268,32.1147049769692,34.8094574931799,0,0.505393200156141,15.1617960046842,0,0,36.0674276484264,670712.245284665,3554583.30926078,23.0045942708372,1,22:33:04,2017-01-05 22:33:04
9963,05-Jan-2017 22:33:34,736700.939984491,32.1145439315709,34.8096992781855,0,0.965822258371001,28.97466775113,0,0,35.525134831873295,670735.359582794,3554565.83755241,22.962680306567503,1,22:33:34,2017-01-05 22:33:34
